身份证	身份证 🪪
相机	相机 📷
摄像机	摄像机 📹
录像机	录像机 📹
磁带	磁带 📼
放大镜	放大镜 🔍
找	找 🔍
查找	查找 🔍
镜子	镜子 🪞
镜	镜 🪞
窗	窗 🪟
窗户	窗户 🪟
窗子	窗子 🪟
搋子	搋子 🪠
捕鼠器	捕鼠器 🪤
老鼠夹	老鼠夹 🪤
蜡烛	蜡烛 🕯
灯	灯 💡
电灯	电灯 💡
灯泡	灯泡 💡
气泡	气泡 🫧
泡	泡 🫧
手电	手电 🔦
灯笼	灯笼 🏮
书	书 📕
账本	账本 📒
词典	词典 📖
辞典	辞典 📖
纸	纸 📃
报纸	报纸 📰
书签	书签 📑
标签	标签 🏷
信用卡	信用卡 💳
收据	收据 🧾
发票	发票 🧾
信封	信封 ✉
信	信 ✉
电子邮件	电子邮件 📧
邮件	邮件 📧
包裹	包裹 📦
包装	包装 📦
箱	箱 📦
箱子	箱子 📦
盒子	盒子 📦
邮箱	邮箱 📧
投票	投票 🗳
笔	笔 ✏
铅笔	铅笔 ✏
钢笔	钢笔 ✒
画笔	画笔 🖌
蜡笔	蜡笔 🖍
圆珠笔	圆珠笔 🖊
备忘录	备忘录 📝
文件夹	文件夹 📂
日历	日历 📅
钉	钉 📌
图钉	图钉 📌
按钉	按钉 📌
摁钉	摁钉 📌
曲别针	曲别针 📎
回形针	回形针 📎
别针	别针 📎
尺	尺 📏
直尺	直尺 📏
格尺	格尺 📏
三角尺	三角尺 📐
剪子	剪子 ✂
剪刀	剪刀 ✂
剃须刀	剃须刀 🪒
垃圾桶	垃圾桶 🗑
锁	锁 🔒
钥匙	钥匙 🔑
锤子	锤子 🔨
锤	锤 🔨
